Code,Name,Synonyms,Problem
SK65,#NAME?,(a) k?ca? (b) Va?i k?cam (c) Nuz?l al-M?’,
SK66,#NAME?,"""(a) abhi?yanda? (b) A??a k?pam (c) Ramad"" (c) ?shob-i-Chashm",
SK67,#NAME?,(a) k???agataroga? (b) Karuvi?i n?yka (c) Amr??-i-?abaqa'-i-Qarniyya,
SK68,#NAME?,(a) p?y?lasa? (b) Kuval?aippa?uva? (c) Gharab Munfajir,
SK69,#NAME?,(a) kumbh?k? (b) Vira?ap Paru (c) Sal‘a al-Ajf?n,
SK6A,#NAME?,(a) ?u?k?k?ip?ka? (c) Yubs al-Qarniyya (b) A?a??i,
SK6B,#NAME?,(b) Imaiyuyarcci (c) Shatra Kh?rijiyya,
SK6C,#NAME?,(a) prast?ri-arma (b) N?kap pa?alam (c) ?afara (c) N?kh?na,
SK6D,#NAME?,(a) sr?va? (b) N?r vari (c) Dam‘a,
SK6E,#NAME?,(a) pak?makopa? (b) Mu?a mayir (c) Sha‘r Munqalib (a) Pak?moparodha?,
SK6F,#NAME?,(a) vartm?rbuda? (b) Tacai ka?alai (c) Uqda al-‘Ayn (c) Uqda’-i-Jafn,
SK6G,#NAME?,(a) ?u?k?r?a? (c) Tah?ajjur al-Ajf?n (b) Imai ta?ippu,
SK6H,#NAME?,(a) vartmagata-rakt?r?a? (c) Tha’?l?l al-Ajf?n,
SK6J,#NAME?,(a) nime?a? (c) ?arf al-Ajf?n (b) Avik?ya vira?am,
SK6K,#NAME?,(a) ?y?vavartma (b) Irattakka?alai,
SK6L,#NAME?,(a) k?cchronm?la? (b) Vi?i vali (c) Istirkh?’ al-Jafn,
SK6M,#NAME?,(a) ?li??a-vartma (c) Iltis??q al-Jafn (b) Kuva?ai nerital,
SK6N,#NAME?,(a) laga?a? (c) Barada (b) Tacai ka?alai,
SK6P,#NAME?,(a) añjanan?mik? (b) N?r pa?pa r?kam (c) Sha‘?ra,
SK6Q,#NAME?,(a) pak?ma??ta? (b) Iratta Ka?alai (c) Intith?r al-Ahd?b,
SK6R,#NAME?,(a) a?ophap?ka? (c) Intif?kh R?h?? (b) Uruvi?i pu?aittal,
SK6S,#NAME?,(a) netraja-ar?a? (b) Vira?ap paru,
SK6T,#NAME?,(a) sir?japi?ak? (c) Ramad Buth?r? (a) sir?pi?ak? (c) Wadaqa (b) Parumu?ai,
SK6U,#NAME?,(a) pothak? (b) Kuva?aipa?uva? (c) Jarab al-‘Ayn,
SK6V,#NAME?,(a) avra?a?ukra? (b) Vira?a Cukkira? (c) Bay?? al-‘Ayn,
SK6W,#NAME?,(a) sa?ophap?ka? (b) Mata?amant?ram (c) Ward?naj,
SK6X,#NAME?,(a) hat?dhimantha? (c) Sill al-‘Ayn,
SK7Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK7Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SK80,#NAME?,(a) kar?a-vidradhi? (b) Cur??ita ceviva?i (c) Qur?? al-Udhun,
SK81,#NAME?,(a) b?dhiryam (c) Waqr (b) Kar?ika ca??i,
SK82,#NAME?,(a) kar?a-sr?va? (b) C?? cevi e?ucci (c) Sayal?n al-Udhun,
SK83,#NAME?,(a) kar?a-ka??? (b) T?malk?tu karapp?? (c) ?ikka al-Udhun,
SK84,#NAME?,(a) uccai??ruti? (c) Harb al-Udhun,
SK85,#NAME?,(a) kar?a-g?thaka? (c) Wasakh al-Udhun,
SK86,#NAME?,(a) kar?a-n?da? (c) T?an?n-o-Daw? (a) a?abda?rava?am (b) Cevipa?uv?tam,
SK87,#NAME?,(a) kar?a??la? (b) Kar??varttam n?kk??u (c) Waja‘ al-Udhun earache,
SK88,#NAME?,(a) kar?a-?opha? (b) Cevivi?ai Val?i (c) Iltih?b al-Udhun (a) kar?a?otha?,
SK89,#NAME?,(a) Parilehi (b) Kuruti cevi paru (c) Buth?r al-As?d?gh,
SK8Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK8Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SK90,#NAME?,(a) n?s?gata-raktapittam (c) Ru‘?f (b) Kuruti m?kka?aippu,
SK91,#NAME?,(a) ghr??an??a? (b) V?ca?ai nilaiya?ital (c) Khasham,
SK92,#NAME?,(a) pu?aka? (c) Jaf?f al-Anf (b) M?kku karapp??,
SK93,#NAME?,(a) n?s??o?a? (c) Iltih?b al-Anf D?um?r?,
SK94,#NAME?,(a) n?s?r?a? (b) M?kku Ka?alai (c) Baw?s?r al-Anf (c) Urbiy?n al-Anf,
SK95,#NAME?,(a) prati?y?ya? (b) N?r m?kka?aippu (c) Iltih?b al-Anf (a) p?nasa?,
SK96,#NAME?,(a) ghr??asr?va? (a) n?s?sr?va? (b) M?kku n?rpp?yccal (c) Nazla,
SK97,#NAME?,(a) n?s?n?ha? (b) Ka?uttu m?kka?aippu (c) Sudda-i-Khaysh?m (a) prat?n?ha? (c) soddeh-ye khayshoum,
SK98,#NAME?,(a) p?tin?s? (b) Cir?y m?kka?aippu (c) Bakhr al-Anf (c) Natn al-Anf,
SK99,#NAME?,(b) M?kka?aippu n?y (c) Iltih?b-i-Taj?w?f al-Anf (a) ardha?vabhedaka,
SK9A,#NAME?,(a) ka??ha??l?ka? (c) Iltih?b-i-Taj?w?f H?ulq?m? Anf?,
SK9Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK9Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SL00,#NAME?,(b) To??ai pu??u (a) gal?rbuda?,
SL01,#NAME?,(a) ?ataghn? (c) Khur?j H?alaq? Khalf?,
SL02,#NAME?,(a) ka??hodhva?sa? (b) Kural kammal (c) Bu??a al-?awt (c) Bu???a al-?awt,
SL03,#NAME?,(a) svarabheda? (c) Khalal al-?awt,
SL04,#NAME?,(a) rohi?? (b) Vara? ka?am (c) Khun?q Wab?’? (c) Waram al-H?anjara H??dd Ghish?’? Khun?q?,
SL05,#NAME?,(a) bal?sa? (b) K?ca pittam (c) Waram-i-H?alq,
SL06,#NAME?,(a) tu??iker? (c) Waram al-Lawzatayn (b) Ni?ak kural kammal,
SL07,#NAME?,(a) m?katvam (c) Inqi??‘ al-?awt,
SL08,#NAME?,(a) ga??am?l? (b) Ka??am?lai (c) Khan?z?r Scrofula,
SL09,#NAME?,(b) Ka??a pittam (c) Waram al-H?anjara,
SL0Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL0Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL20,#NAME?,"""(a) k?avathu? (c) ’ U??s"" (c) otAs (b) Cil???uma pittam",
SL21,#NAME?,(a) minmina? (c) Khun?n (b) N?cik?p??am,
SL2Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL2Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SL40,#NAME?,"(a) tamaka?v?sa? (b) Iraippu n?y (c) D??q al-Nafas (b) iraippu irumal (c) Dama, (c) Nafas D?ayyiq, (c) rabw",
SL41,#NAME?,(a) k?sa? (b) Irumal n?y (c) Su‘?l-o-Surfa,
SL42,#NAME?,(a) ?v?sa? (b) Iraippu n?y (c) ’ Usr al-Tanaffus Breathlessness (TM2),
SL4Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL4Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SL60,#NAME?,(a) h?nmoha? (c) But??’ al-Qalb,
SL61,#NAME?,(a) h?droga? (b) Tamaraka n?y (c) Amr??-i-Qalb wa Dawr?n-i-Kh?n,
SL62,#NAME?,(a) h?ddrava? (b) Tu?i pittam (c) Khafaq?n (b) Naadi Padappu,
SL6Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL6Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SL70,#NAME?,(a) sir?granthi? (b) N??a vip?ta pu?aippu (c) Daw?l? (b) Naalavibatham,
SL71,#NAME?,(a)sir?gatavra?a? (b) N??a vip?ta pu? (c) Qarh?a Daw?liyya (b) Naalavibatha viranam,
SL72,#NAME?,(a) dhaman?praticaya? (b) Vacu v?tam (c) Tasaddud Shah?m? Kils?,
SL7Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL7Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SL80,#NAME?,(a) p???uroga? (b) Ve?uppu n?y (c) Faqr al-Dam (b) Veluppu Noi,
SL81,#NAME?,(a) raktapittam (b) Iratta pittam (c) Qatma,
SL8Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SL8Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM00,#NAME?,(a) apac? (b) Akku? nilapp?ca?i ka??i,
SM01,#NAME?,(a) ?l?pada? (b) Y??aikk?l (c) D?’ al-F?l Filariasis (TM2),
SM0Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM0Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SM10,#NAME?,(a) ?syavip?ka? (b) Akkaram (c) Qul?‘ (a) mukhp?ka? (c) qorheh-ye dahAn,
SM11,#NAME?,(a) dantavidradhi? (b) Palla?i Ka??i (c) F?r?las,
SM12,#NAME?,(a) dantagh?ta? (c) S?ar?r al-Asn?n,
SM13,#NAME?,(a) dantave??aka? (c) Taqayyuh? al-Litha (b) Pall???am,
SM14,#NAME?,(a) upaku?a? (b) Palla?i V?kkam (c) Waram al-Litha,
SM15,#NAME?,(a) p?timukhat? (b) N?????am (c) Bakhr al-Fam,
SM16,#NAME?,(a) mukhasr?va? (b) Aiyam mikutiyu?a? v?yu c?rnt?l u???kum ku?iku?a?ka?. (c) Kathra al-Lu‘?b (a) praseka (c) sayalAn-e ab dahAn,
SM17,#NAME?,(a) adhru?a? (c) Waram al-H?anak (b) A???kkutt??u t?pitam,
SM18,#NAME?,(a) gala?u??ik? (c) Waram-i-Lah?t (b) U? n?kku va?arcci,
SM19,#NAME?,(a) galagraha? (c) Khun?q,
SM1A,#NAME?,Tooth ache (a) dantabheda? (a) d?lana? (b) Pal kuttal (c) Waja‘ al-Asn?n,
SM1B,#NAME?,(a) paridara? (b) Palla?i Kotippu (c) Litha D?miya,
SM1C,#NAME?,(a) upajihvik? (c) D?ifda‘ al-Lis?n (b) N?kkara?ai,
SM1D,#NAME?,(a) p????agardabha? (c) Waram As?l al-Udhun Mumps (TM2),
SM1E,#NAME?,(a) k?midantaka? (b) Pal pu?u (c) Ta’akkul al-Asn?n,
SM1F,#NAME?,(a) danta?arkar? (b) Palla?i mañca??tal (c) D?’ al-H?afr (c) H?afr al-Asn?n wa’l Qalh?,
SM1G,#NAME?,(a) ?y?vadantaka? (b) Pal karuttal (c) Taghayyur Lawn al-Asn?n,
SM1H,#NAME?,(a) dantac?la? (b) Pall???am (c) Tah?arruk al-Asn?n,
SM1J,#NAME?,(a) dantahar?a? (b) Pal k?ccam (c) Dhah?b M?’ al-Asn?n,
SM1K,#NAME?,(a) pittaja-???haprak?pa? (b) Ve?ippu uta?u n?y (c) Taqashshur al-Shafatayn (b) Va?iyuta?u n?y,
SM1L,#NAME?,(a) kaphaja-???haprak?pa? (b) Mi?umi?uppu uta?u n?y,
SM1M,#NAME?,(c) Shaq?q al-Shafatayn (c) jefAf-e lab (c) taqashor-e lab (a) v?taja-o??haprakopa? (b) Val?i Uta?uno?y (c) Tashaqquq al-Shafatayn,
SM1N,#NAME?,(a) mukha?o?a? (b) N?li Akkaram (c) Jaf?f-i-Lis?n,
SM1P,#NAME?,(a) arasajñat? (b) Cuvaiyi?mai n?y (c) But?l?n al-Dhawq,
SM1Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM1Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SM30,#NAME?,(b) Kuruti v?nti (c) Qay’ al-Dam,
SM31,#NAME?,(a) ?dhm?nam (b) Mantam (c) Nafkh al-Mi‘da,
SM32,#NAME?,"(a) udara (b) Peruvayi?u n?y (c) Istisq?’ Ziqq? (a) udararoga?, (a) jalodara?",
SM33,#NAME?,(a) ??la? (b) Vayi??u Va?i (c) Waja‘ al-Mi‘da (b) C?lai n?y,
SM34,#NAME?,(a) vibandha (b) Malakka??u (c) Qabd? (b) Malakka??u (c) I‘tiq?l al-Bat?n / H?us?r / Ih?tib?s al-Bat?n / Ih?tib?s al-T?ab?‘a / I‘tiq?l al-T?ab?‘a / Ims?k al-Bat?n (a) malavibandha,
SM35,#NAME?,(a) ud?varta? (b) Calastampa v?tam (c) Q?lanj Iltiw?’?,
SM36,#NAME?,(a) graha?? (b) Ni?ak ka?iccal (c) Dharab-o-Khilfa Sprue (TM2),
SM37,#NAME?,(a) atis?ra? (b) Peru? ka?iccal (c) Ish?l,
SM38,#NAME?,(a) prav?hik? (b) Ni?ak ka?iccal (c) Zah??r,
SM39,#NAME?,(a) amlapittam (b) Cavvira?ka v?tam (c) Fas?d al-Had?m (c) S?’ al-Had?m,
SM3A,#NAME?,(b) Va??i pittam (c) H?urqa al-Mi‘da (c) laz'e me'deh,
SM3B,#NAME?,(a) aj?r?am (b) Ceriy?mai (c) D?u‘f al-Had?m,
SM3C,#NAME?,(a) alasaka (b) M?nta n?y (c) Tukhma Food stasis (TM2),
SM3D,#NAME?,(a) pari??ma??la? (b) Va?i ku?mam,
SM3E,#NAME?,(a) annadrava??la? (b) Eri ku?mam (c) Qarh?a wa Buth?r al-Mi‘da (c) qrwh me'deh,
SM3F,#NAME?,(a) v?tapaittika??la? (b) A?al ku?mam (c) Waram al-Mi‘da,
SM3G,#NAME?,(a) antra-v?ddhi? (b) Ku?al v?tam (c) Fatq,
SM3H,#NAME?,(a) utkle?a? (c) Ghathay?n (b) Manta aiya n?y,
SM3J,#NAME?,(a) v?taja-chardi? (b) Val?i V?nti (c) Tahawwu‘,
SM3K,#NAME?,(a) gulma? (b) Ku?mam,
SM3L,#NAME?,,"Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
SM3Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM3Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SM40,#NAME?,(a) yakr?jjavidradhi? (b) Kall?ral Ka??i (c) Dubayla al-Kabid (c) Dubayla-i-Jigar,
SM41,#NAME?,(a) k?mal? (b) Mañca? n?y (c) Yarq?n As?far,
SM42,#NAME?,(a) yak?dd?lyudara? (b) Val?i Kall?ral No?y (c) ‘Iz?am al-Kabid,
SM43,#NAME?,(c) Waram al-Kabid (b) A?c?pakav?tam,
SM44,#NAME?,(a) pl?havruddhi (b) Mukku??a Ma???ral No?y (c) Iz?am al-T?ih??l (a) pl?haroga? (b) Pil?kavirutti,
SM4Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM4Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SM50,#NAME?,(a) gud?rti? (b) P?cuv?tam,
SM51,#NAME?,(a) parikartik? (c) Shuq?q al-Maq‘ad (b) Ka?almu?ai n?y,
SM52,#NAME?,(a) bhagandara? (b) Pavuttiram (c) Naw?s??r N?fidha,
SM53,#NAME?,(a) ar?a? (b) Eruv?y mu?ai n?y (c) Baw?s?r Piles (TM2),
SM54,#NAME?,(a) gudap?ka? (c) Waram al-Maq‘ad (a) gudaku??anam (b) A?al mu?ai,
SM55,#NAME?,(a) gudabhra??a? (b) Vir?ki A?itta??al (c) Khur?j al-Maq‘ad (c) Khur?j al-Mabraz,
SM56,#NAME?,(a) gudajavidradhi (b) Eruv?ykka??i (c) Naw?s??r Ghayr N?fidha,
SM5Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM5Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM70,#NAME?,(a) p?r?varuja? (b) ?ma c?lai (c) Sh?s?a (a) p?r?va??la?,
SM71,#NAME?,(a) arocaka? (c) But?l?n al-Ishtih?’ (c) D?u‘f al-Ishtih?’ (b) Ma?a cuvaiyi?mai n?y,
SM72,#NAME?,(a) raktaja-prav?hik? (b) Mirut v?tam (c) Sah?j wa Qur?h? al-Am‘?’,
SM73,#NAME?,(a) k??r?lasaka? (b) M?ntam (c) Maghs? al-At?f?l,
SM74,#NAME?,(a) hikk? (b) Vikkal n?y (c) Fuw?q,
SM75,#NAME?,"(a) ?rdhvav?ta? (b) Ku?a?pi?ippu n?y, ?n?ka n?y (c) ?l?’?s",
SM76,#NAME?,(a) vis?cik? (b) ??i n?y (c) Hayd?a,
SM7Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM7Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SM80,#NAME?,(a) vr?kkajavidradhi? (b) M?ttiran?l?akka??i (c) Dubayla al-Kulya,
SM81,#NAME?,(a) m?tranigraha? (b) N?rkka??u (c) Ih?tib?s al-Bawl,
SM82,#NAME?,(a) m?tr?gh?ta? (b) N?ra?aippu (c) D?u‘f al-Math?na,
SM83,#NAME?,(a) t?n? (b) A?al n?rccurukku (c) Q?lanj Kulw?,
SM84,#NAME?,(b) N?rkka??u (c) Waram al-Kulya,
SM85,#NAME?,(b) Aiya N?rccurukku (c) Waram al-Math?na,
SM86,#NAME?,(b) Ci?un?r p?taiyi? k?ya?ka? (c) Qur?h? al-Math?na,
SM87,#NAME?,(a) m?trak?cchram (b) N?rccurukku (c) ‘Usr al-Bawl,
SM88,#NAME?,(a) v?taku??alik? (b) Co??u n?r (c) Taqt??r al-Bawl,
SM89,#NAME?,(a) m?traukas?da? (c) Bawl Ghal??,
SM8A,#NAME?,(a) lohitameha? (b) A?al N?rccurukku (c) Bawl al-Dam,
SM8B,#NAME?,(a) v?tabasti? (b) Ci?un?ri? m??utalka? (c) Salas al-Bawl,
SM8C,#NAME?,(a) a?mar? (b) Kalla?aippu (c) H?as?? wa Raml al-Kulya,
SM8D,#NAME?,(a) prameha? (b) N?ri?aipperukkal n?yka? (c) Kathra al-Bawl,
SM8E,#NAME?,(a) m?trasa?k?aya? Anuria (TM2) (c) Qilla al-Bawl,
SM8Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM8Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SM90,#NAME?,(a) arajask? (b) Kukara?a mey c?takata?ai (c) Ih?tib?s al-Tamth (a) rajon??a? / nas?t?a?rtava / ana?rtava,
SM91,#NAME?,(a) kar?in? (b) Karuppaik ka?untu u?pu?a a?a?ci,
SM92,- - - - - Bartholin's cyst disorder (TM2),(a) yonikanda? (b) Surappikallutaiya Athaippu,
SM93,#NAME?,(a) ?vetapradara? (b) Ve??ai n?y (c) Sayal?n al-Rah?im,
SM94,#NAME?,(a) vandhy? (b) Pe? mala?u (c) ‘Uqr,
SM95,#NAME?,(a) pariplut? (b) Y??i t?pitam,
SM96,#NAME?,(a) ud?vartin? (b) C?taka Va?i (c) ‘Usr al-Tamth (a) Kashtartawa,
SM97,#NAME?,(a) lohitak?ay? (c) Qillat-i-Tamth,
SM98,#NAME?,(a) as?gdara? (b) Ac?t?ra?a perump??u (c) Kathrat-i-H?ayd? (c) kethrat-e tamth (a) Raktapradar,
SM99,#NAME?,(a) yoni-ar?a? (b) Karuppai k?mpu ka?alai (c) Baw?s?r al-Rah?im,
SM9A,#NAME?,(a) mah?yoni? (b) Karuppai a?itta??al (c) Inzil?q al-Rah?im (a) viv?t? (c) Nut?’ al-Ra?im,
SM9B,#NAME?,(a) viplut? (b) C?lai Yo??i,
SM9C,#NAME?,(a) makkalla? (b) Karuppai u?kavaca t?pitam (c) Waram al-Rah?im,
SM9Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SM9Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SN00,#NAME?,(a) me?hrap?ka? (b) Aiya Kalla?aippu (c) Waram al-Qad??b inflammation of the penis,
SN01,#NAME?,(a) v?ddhi? (b) Tantira ve??i v?tam (c) Q?la M?’iyya,
SN02,#NAME?,(a) klaibyam (b) V?riyami?mai (c) Istirkh?’ al-Qad??b,
SN03,#NAME?,(a) ?ukrak?aya? (b) ?? mala?u (c) Qilla al-Man?,
SN04,#NAME?,(a) sar?apik? (b) Ka?uku koppu?am,
SN05,#NAME?,(b) P?jastampa v?tam (c) Waram al-Khus?yatayn (c) Waram al- Unthayayn,
SN06,#NAME?,(a) me?hraja-ar?a? (b) T?maraikk?ytta?ippu (c) Tha’?l?l al-Dhakar,
SN07,#NAME?,(a) ?ephastambha? (c) Far?sm?s (c) Ifr?t? al-Nu‘?z? (b) Timirkku?ippu?,
SN08,#NAME?,(a) v?t???h?l? (c) Iz?am-i-Ghudda'-i-Madh? Benign enlargement of the prostate (TM2) (b) Cataiya?aippu,
SN09,#NAME?,(a) m?tra?ukra? (b) Ve???r (c) Jaray?n (b) tava?a n?r,
SN0A,#NAME?,(a) niruddhapraka?a? (b) T?l ta?aippu?,
SN0Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SN0Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SN10,#NAME?,(a) stanyak?aya? (c) Qilla al-Laban,
SN11,#NAME?,(a) stanyadu??i? (b) P?l etire?uttal,
SN12,#NAME?,(a) j?taghn? (b) Ku?a avat??akam (c) Isq?t? ‘?d?,
SN1Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SN1Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
SN30,#NAME?,"(a) upada??a? (b) Korukku n?y (c) Soz?k (c) Sayal?n Zuhr?, (c) H?urqa, (c) Al-Nak?l, (c) ‘Uq?ba",
SN31,#NAME?,"(a) phira?garoga (b) Ve??ai n?y (c) ?tshak (c) ?bla Farang, (c) D?arma, (c) S?‘?r, (c) Al-Afranj? (c) B?d Farang, (c) Al-Khaj?l, (c) Qarh?a S?ulba, (c) Koft",
SN3Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SN3Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SN40,#NAME?,(a) rakas? (b) Karapp?? pittam,
SN41,#NAME?,(a) k?r??yam (b) Valli Nhooyaallar Utal Nhirram (c) Fas?d al-Lawn,
SN42,#NAME?,(a) rauk?yam (b) T?l va?a?ci (c) Shuq?q al-At?r?f wa’l Wajh,
SN43,#NAME?,"(a) vicarcik? (b) V?tak karapp?? (c) N?r F?rs? (c) Ch?jan, (c) Ukauta",
SN44,#NAME?,(a) a?ga-durgandha? (c) ‘Araq Muntin,
SN45,#NAME?,(a) svedav?ddhi? (b) Ativiyarvai (c) Kathra al-‘Araq (a) atisveda? (c) Ifr?? al-‘Araq,
SN46,#NAME?,(a) p?m? (kacch?) (b) Co?i cira?ku (c) Jarab,
SN47,#NAME?,(a) sn?yukaroga? (c) ‘Irq Mad?n? (b) Kurutippu?,
SN48,#NAME?,(a) alasa? (c) Mazah? (b) C???up pu?,
SN49,#NAME?,(a) dh?tugataku??ha? (b) Cira?kup perun?y (c) Judh?m (b) P?ma ku??am (c) Al-‘Illa al-Kubr?,
SN4A,#NAME?,(a) sidhma? (b) K???ñcakappa?ai (c) Taqashshur al-Jild,
SN4B,#NAME?,(a) ekaku??ha? (c) Q?b? Mutaqashshir (b) Va?a?cik karapp??,
SN4C,#NAME?,(a) ke?abh?misphu?anam (c) Qush?r al-Jabha (b) Ve? karapp??,
SN4D,#NAME?,Leucoderma (TM2) (a) ?vitra? (b) Ve?pu??i (c) Baras?,
SN4E,#NAME?,,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
SN4F,#NAME?,(a) jatuma?i? (c) Namash,
SN4G,#NAME?,(a) vya?ga? (c) Kalaf (b) Kap?la karu?ku??am,
SN4H,#NAME?,(a) ma?aka? (b) Maccam (c) Kh?l?n,
SN4J,#NAME?,(a) k?ka?aka? (b) Karu perun?y,
SN4K,#NAME?,(a) ??tapittam (b) K???kka?i (c) Shar?,
SN4L,#NAME?,(a) ko?ha? (b) T?lta?ippu (c) Shar? Damaw?,
