Code,Name,Synonyms,Problem
SK67,- - - - - Corneal disorder (TM2),(a) k???agataroga? (b) Karuvi?i n?yka (c) Amr??-i-?abaqa'-i-Qarniyya,
SK68,- - - - - Tear sac swelling disorder (TM2),(a) p?y?lasa? (b) Kuval?aippa?uva? (c) Gharab Munfajir,
SK69,- - - - - Eyelid cyst disorder (TM2),(a) kumbh?k? (b) Vira?ap Paru (c) Sal‘a al-Ajf?n,
SK6A,- - - - - Dry eye disorder (TM2),(a) ?u?k?k?ip?ka? (c) Yubs al-Qarniyya (b) A?a??i,
SK6B,- - - - - Ectropion disorder (TM2),(b) Imaiyuyarcci (c) Shatra Kh?rijiyya,
SK6C,- - - - - Pterygium disorder (TM2),(a) prast?ri-arma (b) N?kap pa?alam (c) ?afara (c) N?kh?na,
SK6D,- - - - - Lacrimation disorder (TM2),(a) sr?va? (b) N?r vari (c) Dam‘a,
SK6E,- - - - - Trichiasis disorder (TM2),(a) pak?makopa? (b) Mu?a mayir (c) Sha‘r Munqalib (a) Pak?moparodha?,
SK6F,- - - - - Eyelid tumour disorder (TM2),(a) vartm?rbuda? (b) Tacai ka?alai (c) Uqda al-‘Ayn (c) Uqda’-i-Jafn,
SK6G,- - - - - Hard swelling of eyelid disorder (TM2),(a) ?u?k?r?a? (c) Tah?ajjur al-Ajf?n (b) Imai ta?ippu,
SK6H,- - - - - Eyelid wart disorder (TM2),(a) vartmagata-rakt?r?a? (c) Tha’?l?l al-Ajf?n,
SK6J,- - - - - Excessive blinking disorder (TM2),(a) nime?a? (c) ?arf al-Ajf?n (b) Avik?ya vira?am,
SK6K,- - - - - Eyelid haematoma disorder (TM2),(a) ?y?vavartma (b) Irattakka?alai,
SK6L,- - - - - Ptosis disorder (TM2),(a) k?cchronm?la? (b) Vi?i vali (c) Istirkh?’ al-Jafn,
SK6M,- - - - - Sticky eyelids disorder (TM2),(a) ?li??a-vartma (c) Iltis??q al-Jafn (b) Kuva?ai nerital,
SK6N,- - - - - Chalazion disorder (TM2),(a) laga?a? (c) Barada (b) Tacai ka?alai,
SK6P,- - - - - Stye disorder (TM2),(a) añjanan?mik? (b) N?r pa?pa r?kam (c) Sha‘?ra,
SK6Q,- - - - - Ptilosis disorder (TM2),(a) pak?ma??ta? (b) Iratta Ka?alai (c) Intith?r al-Ahd?b,
SK6R,- - - - - Non-inflammatory swelling of eye disorder (TM2),(a) a?ophap?ka? (c) Intif?kh R?h?? (b) Uruvi?i pu?aittal,
SK6S,- - - - - Periorbital polyp disorder (TM2),(a) netraja-ar?a? (b) Vira?ap paru,
SK6T,- - - - - Phlyctenular nodule disorder (TM2),(a) sir?japi?ak? (c) Ramad Buth?r? (a) sir?pi?ak? (c) Wadaqa (b) Parumu?ai,
SK6U,- - - - - Trachoma disorder (TM2),(a) pothak? (b) Kuva?aipa?uva? (c) Jarab al-‘Ayn,
SK6V,- - - - - Corneal opacity disorder (TM2),(a) avra?a?ukra? (b) Vira?a Cukkira? (c) Bay?? al-‘Ayn,
SK6W,- - - - - Panopthalmitis disorder (TM2),(a) sa?ophap?ka? (b) Mata?amant?ram (c) Ward?naj,
SK6X,- - - - - Phthisis bulbi disorder (TM2),(a) hat?dhimantha? (c) Sill al-‘Ayn,
SK7Y,- - - - - Other specified eye disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK7Z,"- - - - - Eye disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Ear disorders (TM2),,Skipped: Invalid or empty code
SK80,- - - - - Ear abscess disorder (TM2),(a) kar?a-vidradhi? (b) Cur??ita ceviva?i (c) Qur?? al-Udhun,
SK81,- - - - - Deafness disorder (TM2),(a) b?dhiryam (c) Waqr (b) Kar?ika ca??i,
SK82,- - - - - Otorrhoea disorder (TM2),(a) kar?a-sr?va? (b) C?? cevi e?ucci (c) Sayal?n al-Udhun,
SK83,- - - - - Pruritus of ear disorder (TM2),(a) kar?a-ka??? (b) T?malk?tu karapp?? (c) ?ikka al-Udhun,
SK84,- - - - - Dysacousia disorder (TM2),(a) uccai??ruti? (c) Harb al-Udhun,
SK85,- - - - - Impacted cerumen disorder (TM2),(a) kar?a-g?thaka? (c) Wasakh al-Udhun,
SK86,- - - - - Tinnitus disorder (TM2),(a) kar?a-n?da? (c) T?an?n-o-Daw? (a) a?abda?rava?am (b) Cevipa?uv?tam,
SK87,- - - - - Otalgia disorder (TM2),(a) kar?a??la? (b) Kar??varttam n?kk??u (c) Waja‘ al-Udhun earache,
SK88,- - - - - Otitis disorder (TM2),(a) kar?a-?opha? (b) Cevivi?ai Val?i (c) Iltih?b al-Udhun (a) kar?a?otha?,
SK89,- - - - - Pustules of pinna disorder (TM2),(a) Parilehi (b) Kuruti cevi paru (c) Buth?r al-As?d?gh,
SK8Y,- - - - - Other specified ear disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK8Z,"- - - - - Ear disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Nose disorders (TM2),,Skipped: Invalid or empty code
SK90,- - - - - Epistaxis disorder (TM2),(a) n?s?gata-raktapittam (c) Ru‘?f (b) Kuruti m?kka?aippu,
SK91,- - - - - Anosmia disorder (TM2),(a) ghr??an??a? (b) V?ca?ai nilaiya?ital (c) Khasham,
SK92,- - - - - Dry nose disorder (TM2),(a) pu?aka? (c) Jaf?f al-Anf (b) M?kku karapp??,
SK93,- - - - - Atrophic rhinitis disorder (TM2),(a) n?s??o?a? (c) Iltih?b al-Anf D?um?r?,
SK94,- - - - - Nasal polyp disorder (TM2),(a) n?s?r?a? (b) M?kku Ka?alai (c) Baw?s?r al-Anf (c) Urbiy?n al-Anf,
SK95,- - - - - Rhinitis disorder (TM2),(a) prati?y?ya? (b) N?r m?kka?aippu (c) Iltih?b al-Anf (a) p?nasa?,
SK96,- - - - - Coryza and catarrh disorder (TM2),(a) ghr??asr?va? (a) n?s?sr?va? (b) M?kku n?rpp?yccal (c) Nazla,
SK97,- - - - - Nasal obstruction disorder (TM2),(a) n?s?n?ha? (b) Ka?uttu m?kka?aippu (c) Sudda-i-Khaysh?m (a) prat?n?ha? (c) soddeh-ye khayshoum,
SK98,- - - - - Ozaena disorder (TM2),(a) p?tin?s? (b) Cir?y m?kka?aippu (c) Bakhr al-Anf (c) Natn al-Anf,
SK99,- - - - - Sinusitis disorder (TM2),(b) M?kka?aippu n?y (c) Iltih?b-i-Taj?w?f al-Anf (a) ardha?vabhedaka,
SK9A,- - - - - Adenoiditis disorder (TM2),(a) ka??ha??l?ka? (c) Iltih?b-i-Taj?w?f H?ulq?m? Anf?,
SK9Y,- - - - - Other specified nose disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK9Z,"- - - - - Nose disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Neck and throat disorders (TM2),,Skipped: Invalid or empty code
SL00,- - - - - Throat tumour disorder (TM2),(b) To??ai pu??u (a) gal?rbuda?,
SL01,- - - - - Retropharyngeal abscess disorder (TM2),(a) ?ataghn? (c) Khur?j H?alaq? Khalf?,
SL02,- - - - - Hoarseness of voice disorder (TM2),(a) ka??hodhva?sa? (b) Kural kammal (c) Bu??a al-?awt (c) Bu???a al-?awt,
SL03,- - - - - Indistinct- abnormal voice disorder (TM2),(a) svarabheda? (c) Khalal al-?awt,
SL04,- - - - - Severe throat inflammation disorder (TM2),(a) rohi?? (b) Vara? ka?am (c) Khun?q Wab?’? (c) Waram al-H?anjara H??dd Ghish?’? Khun?q?,
SL05,- - - - - Pharyngitis disorder (TM2),(a) bal?sa? (b) K?ca pittam (c) Waram-i-H?alq,
SL06,- - - - - Tonsillitis disorder (TM2),(a) tu??iker? (c) Waram al-Lawzatayn (b) Ni?ak kural kammal,
SL07,- - - - - Speech disorder (TM2),(a) m?katvam (c) Inqi??‘ al-?awt,
SL08,- - - - - Lymphadenopathy in throat region disorder (TM2),(a) ga??am?l? (b) Ka??am?lai (c) Khan?z?r Scrofula,
SL09,- - - - - Laryngitis disorder (TM2),(b) Ka??a pittam (c) Waram al-H?anjara,
SL0Y,- - - - - Other specified neck and throat disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SL0Z,"- - - - - Neck and throat disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SL20,- - - - Excessive sneezing disorder (TM2),"""(a) k?avathu? (c) ’ U??s"" (c) otAs (b) Cil???uma pittam",
SL21,- - - - Hypernasal speech disorder (TM2),(a) minmina? (c) Khun?n (b) N?cik?p??am,
SL2Y,"- - - - Other specified eye, ear, nose, throat and neck disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SL2Z,"- - - - Eye, ear, nose, throat and neck disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - Respiratory system disorders (TM2),,Skipped: Invalid or empty code
SL40,- - - - Bronchial asthma disorder (TM2),"(a) tamaka?v?sa? (b) Iraippu n?y (c) D??q al-Nafas (b) iraippu irumal (c) Dama, (c) Nafas D?ayyiq, (c) rabw",
SL41,- - - - Cough disorder (TM2),(a) k?sa? (b) Irumal n?y (c) Su‘?l-o-Surfa,
SL42,- - - - Dyspnoea disorder (TM2),(a) ?v?sa? (b) Iraippu n?y (c) ’ Usr al-Tanaffus Breathlessness (TM2),
SL4Y,- - - - Other specified respiratory system disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SL4Z,"- - - - Respiratory system disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,"- - - Heart, blood and circulatory disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Heart disorders (TM2),,Skipped: Invalid or empty code
SL60,- - - - - Slow heart disorder (TM2),(a) h?nmoha? (c) But??’ al-Qalb,
SL61,- - - - - Heart pain disorder (TM2),(a) h?droga? (b) Tamaraka n?y (c) Amr??-i-Qalb wa Dawr?n-i-Kh?n,
SL62,- - - - - Palpitation disorder (TM2),(a) h?ddrava? (b) Tu?i pittam (c) Khafaq?n (b) Naadi Padappu,
SL6Y,- - - - - Other specified heart disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SL6Z,"- - - - - Heart disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Circulatory disorders (TM2),,Skipped: Invalid or empty code
SL70,- - - - - Varicose veins disorder (TM2),(a) sir?granthi? (b) N??a vip?ta pu?aippu (c) Daw?l? (b) Naalavibatham,
SL71,- - - - - Varicose ulcer disorder (TM2),(a)sir?gatavra?a? (b) N??a vip?ta pu? (c) Qarh?a Daw?liyya (b) Naalavibatha viranam,
SL72,- - - - - Thickened arteries disorder (TM2),(a) dhaman?praticaya? (b) Vacu v?tam (c) Tasaddud Shah?m? Kils?,
SL7Y,- - - - - Other specified circulatory disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SL7Z,"- - - - - Circulatory disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Blood related disorders (TM2),,Skipped: Invalid or empty code
SL80,- - - - - Anaemia disorder (TM2),(a) p???uroga? (b) Ve?uppu n?y (c) Faqr al-Dam (b) Veluppu Noi,
SL81,- - - - - Bleeding disorder disorder (TM2),(a) raktapittam (b) Iratta pittam (c) Qatma,
SL8Y,- - - - - Other specified blood related disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SL8Z,"- - - - - Blood related disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SM00,- - - - Lymphadenopathy disorder (TM2),(a) apac? (b) Akku? nilapp?ca?i ka??i,
SM01,- - - - Elephantiasis disorder (TM2),(a) ?l?pada? (b) Y??aikk?l (c) D?’ al-F?l Filariasis (TM2),
SM0Y,"- - - - Other specified heart, blood and circulatory disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SM0Z,"- - - - Heart, blood and circulatory disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - Gastro-intestinal disorders (TM2),,Skipped: Invalid or empty code
,- - - - Oral cavity disorders (TM2),,Skipped: Invalid or empty code
SM10,- - - - - Stomatitis disorder (TM2),(a) ?syavip?ka? (b) Akkaram (c) Qul?‘ (a) mukhp?ka? (c) qorheh-ye dahAn,
SM11,- - - - - Dental abscess disorder (TM2),(a) dantavidradhi? (b) Palla?i Ka??i (c) F?r?las,
SM12,- - - - - Bruxism disorder (TM2),(a) dantagh?ta? (c) S?ar?r al-Asn?n,
SM13,- - - - - Pyorrhoea disorder (TM2),(a) dantave??aka? (c) Taqayyuh? al-Litha (b) Pall???am,
SM14,- - - - - Gingivitis disorder (TM2),(a) upaku?a? (b) Palla?i V?kkam (c) Waram al-Litha,
SM15,- - - - - Halitosis disorder (TM2),(a) p?timukhat? (b) N?????am (c) Bakhr al-Fam,
SM16,- - - - - Sialorrhoea disorder (TM2),(a) mukhasr?va? (b) Aiyam mikutiyu?a? v?yu c?rnt?l u???kum ku?iku?a?ka?. (c) Kathra al-Lu‘?b (a) praseka (c) sayalAn-e ab dahAn,
SM17,- - - - - Palatitis disorder (TM2),(a) adhru?a? (c) Waram al-H?anak (b) A???kkutt??u t?pitam,
SM18,- - - - - Uvulitis disorder (TM2),(a) gala?u??ik? (c) Waram-i-Lah?t (b) U? n?kku va?arcci,
SM19,- - - - - Ludwig’s angina disorder (TM2),(a) galagraha? (c) Khun?q,
SM1A,- - - - - Odontalgia disorder (TM2),Tooth ache (a) dantabheda? (a) d?lana? (b) Pal kuttal (c) Waja‘ al-Asn?n,
SM1B,- - - - - Bleeding gum disorder (TM2),(a) paridara? (b) Palla?i Kotippu (c) Litha D?miya,
SM1C,- - - - - Ranula disorder (TM2),(a) upajihvik? (c) D?ifda‘ al-Lis?n (b) N?kkara?ai,
SM1D,- - - - - Parotitis disorder (TM2),(a) p????agardabha? (c) Waram As?l al-Udhun Mumps (TM2),
SM1E,- - - - - Dental caries disorder (TM2),(a) k?midantaka? (b) Pal pu?u (c) Ta’akkul al-Asn?n,
SM1F,- - - - - Dental plaque disorder (TM2),(a) danta?arkar? (b) Palla?i mañca??tal (c) D?’ al-H?afr (c) H?afr al-Asn?n wa’l Qalh?,
SM1G,- - - - - Discolouration of teeth disorder (TM2),(a) ?y?vadantaka? (b) Pal karuttal (c) Taghayyur Lawn al-Asn?n,
SM1H,- - - - - Odontoseisis disorder (TM2),(a) dantac?la? (b) Pall???am (c) Tah?arruk al-Asn?n,
SM1J,- - - - - Sensitive teeth disorder (TM2),(a) dantahar?a? (b) Pal k?ccam (c) Dhah?b M?’ al-Asn?n,
SM1K,- - - - - Lip chapping and bleeding disorder (TM2),(a) pittaja-???haprak?pa? (b) Ve?ippu uta?u n?y (c) Taqashshur al-Shafatayn (b) Va?iyuta?u n?y,
SM1L,- - - - - Itchy swollen lip diorder (TM2),(a) kaphaja-???haprak?pa? (b) Mi?umi?uppu uta?u n?y,
SM1M,- - - - - Dry chapped lip disorder (TM2),(c) Shaq?q al-Shafatayn (c) jefAf-e lab (c) taqashor-e lab (a) v?taja-o??haprakopa? (b) Val?i Uta?uno?y (c) Tashaqquq al-Shafatayn,
SM1N,- - - - - Xerostomia disorder (TM2),(a) mukha?o?a? (b) N?li Akkaram (c) Jaf?f-i-Lis?n,
SM1P,- - - - - Ageusia disorder (TM2),(a) arasajñat? (b) Cuvaiyi?mai n?y (c) But?l?n al-Dhawq,
SM1Y,- - - - - Other specified oral cavity disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM1Z,"- - - - - Oral cavity disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Abdominal cavity disorders (TM2),,Skipped: Invalid or empty code
SM30,- - - - - Haematemesis disorder (TM2),(b) Kuruti v?nti (c) Qay’ al-Dam,
SM31,- - - - - Abdominal distension disorder (TM2),(a) ?dhm?nam (b) Mantam (c) Nafkh al-Mi‘da,
SM32,- - - - - Ascites disorder (TM2),"(a) udara (b) Peruvayi?u n?y (c) Istisq?’ Ziqq? (a) udararoga?, (a) jalodara?",
SM33,- - - - - Abdominal pain disorder (TM2),(a) ??la? (b) Vayi??u Va?i (c) Waja‘ al-Mi‘da (b) C?lai n?y,
SM34,- - - - - Constipation disorder (TM2),(a) vibandha (b) Malakka??u (c) Qabd? (b) Malakka??u (c) I‘tiq?l al-Bat?n / H?us?r / Ih?tib?s al-Bat?n / Ih?tib?s al-T?ab?‘a / I‘tiq?l al-T?ab?‘a / Ims?k al-Bat?n (a) malavibandha,
SM35,- - - - - Volvulus disorder (TM2),(a) ud?varta? (b) Calastampa v?tam (c) Q?lanj Iltiw?’?,
SM36,- - - - - Malabsorption disorder (TM2),(a) graha?? (b) Ni?ak ka?iccal (c) Dharab-o-Khilfa Sprue (TM2),
SM37,- - - - - Diarrhoea disorder (TM2),(a) atis?ra? (b) Peru? ka?iccal (c) Ish?l,
SM38,- - - - - Dysentery disorder (TM2),(a) prav?hik? (b) Ni?ak ka?iccal (c) Zah??r,
SM39,- - - - - Dyspepsia disorder (TM2),(a) amlapittam (b) Cavvira?ka v?tam (c) Fas?d al-Had?m (c) S?’ al-Had?m,
SM3A,- - - - - Hyperacidity disorder (TM2),(b) Va??i pittam (c) H?urqa al-Mi‘da (c) laz'e me'deh,
SM3B,- - - - - Indigestion disorder (TM2),(a) aj?r?am (b) Ceriy?mai (c) D?u‘f al-Had?m,
SM3C,- - - - - Food stasis indigestion disorder (TM2),(a) alasaka (b) M?nta n?y (c) Tukhma Food stasis (TM2),
SM3D,- - - - - Duodenal ulcer disorder (TM2),(a) pari??ma??la? (b) Va?i ku?mam,
SM3E,- - - - - Gastric ulcer disorder (TM2),(a) annadrava??la? (b) Eri ku?mam (c) Qarh?a wa Buth?r al-Mi‘da (c) qrwh me'deh,
SM3F,- - - - - Gastritis disorder (TM2),(a) v?tapaittika??la? (b) A?al ku?mam (c) Waram al-Mi‘da,
SM3G,- - - - - Hernia disorder (TM2),(a) antra-v?ddhi? (b) Ku?al v?tam (c) Fatq,
SM3H,- - - - - Nausea disorder (TM2),(a) utkle?a? (c) Ghathay?n (b) Manta aiya n?y,
SM3J,- - - - - Retching disorder (TM2),(a) v?taja-chardi? (b) Val?i V?nti (c) Tahawwu‘,
SM3K,- - - - - Abdominal lumps disorder (TM2),(a) gulma? (b) Ku?mam,
SM3L,- - - - - Vomiting disorder (TM2),,"Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
SM3Y,- - - - - Other specified abdominal cavity disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM3Z,"- - - - - Abdominal cavity disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Liver and Spleen disorders (TM2),,Skipped: Invalid or empty code
SM40,- - - - - Liver abscess disorder (TM2),(a) yakr?jjavidradhi? (b) Kall?ral Ka??i (c) Dubayla al-Kabid (c) Dubayla-i-Jigar,
SM41,- - - - - Jaundice disorder (TM2),(a) k?mal? (b) Mañca? n?y (c) Yarq?n As?far,
SM42,- - - - - Hepatomegaly disorder (TM2),(a) yak?dd?lyudara? (b) Val?i Kall?ral No?y (c) ‘Iz?am al-Kabid,
SM43,- - - - - Hepatitis disorder (TM2),(c) Waram al-Kabid (b) A?c?pakav?tam,
SM44,- - - - - Splenomegaly disorder (TM2),(a) pl?havruddhi (b) Mukku??a Ma???ral No?y (c) Iz?am al-T?ih??l (a) pl?haroga? (b) Pil?kavirutti,
SM4Y,- - - - - Other specified liver and Spleen disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM4Z,"- - - - - Liver and Spleen disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Anorectal disorders (TM2),,Skipped: Invalid or empty code
SM50,- - - - - Proctalgia disorder (TM2),(a) gud?rti? (b) P?cuv?tam,
SM51,- - - - - Anal fissure disorder (TM2),(a) parikartik? (c) Shuq?q al-Maq‘ad (b) Ka?almu?ai n?y,
SM52,- - - - - Fistula in ano disorder (TM2),(a) bhagandara? (b) Pavuttiram (c) Naw?s??r N?fidha,
SM53,- - - - - Haemorrhoids disorder (TM2),(a) ar?a? (b) Eruv?y mu?ai n?y (c) Baw?s?r Piles (TM2),
SM54,- - - - - Proctitis disorder (TM2),(a) gudap?ka? (c) Waram al-Maq‘ad (a) gudaku??anam (b) A?al mu?ai,
SM55,- - - - - Rectal prolapse disorder (TM2),(a) gudabhra??a? (b) Vir?ki A?itta??al (c) Khur?j al-Maq‘ad (c) Khur?j al-Mabraz,
SM56,- - - - - Anal abscess disorder (TM2),(a) gudajavidradhi (b) Eruv?ykka??i (c) Naw?s??r Ghayr N?fidha,
SM5Y,- - - - - Other specified anorectal disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM5Z,"- - - - - Anorectal disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SM70,- - - - Flank pain disorder (TM2),(a) p?r?varuja? (b) ?ma c?lai (c) Sh?s?a (a) p?r?va??la?,
SM71,- - - - Anorexia disorder (TM2),(a) arocaka? (c) But?l?n al-Ishtih?’ (c) D?u‘f al-Ishtih?’ (b) Ma?a cuvaiyi?mai n?y,
SM72,- - - - Bowel inflammation disorder (TM2),(a) raktaja-prav?hik? (b) Mirut v?tam (c) Sah?j wa Qur?h? al-Am‘?’,
SM73,- - - - Infantile tenesmus disorder (TM2),(a) k??r?lasaka? (b) M?ntam (c) Maghs? al-At?f?l,
SM74,- - - - Hiccough disorder (TM2),(a) hikk? (b) Vikkal n?y (c) Fuw?q,
SM75,- - - - Dynamic intestinal obstruction disorder (TM2),"(a) ?rdhvav?ta? (b) Ku?a?pi?ippu n?y, ?n?ka n?y (c) ?l?’?s",
SM76,- - - - Severe vomiting and diarrhoea disorder (TM2),(a) vis?cik? (b) ??i n?y (c) Hayd?a,
SM7Y,- - - - Other specified gastro-intestinal disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SM7Z,"- - - - Gastro-intestinal disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - Urinary and reproductive system disorders (TM2),,Skipped: Invalid or empty code
,- - - - Urinary system disorders (TM2),,Skipped: Invalid or empty code
SM80,- - - - - Renal abscess disorder (TM2),(a) vr?kkajavidradhi? (b) M?ttiran?l?akka??i (c) Dubayla al-Kulya,
SM81,- - - - - Retention of urine disorder (TM2),(a) m?tranigraha? (b) N?rkka??u (c) Ih?tib?s al-Bawl,
SM82,- - - - - Insufficiency of the urinary bladder disorder (TM2),(a) m?tr?gh?ta? (b) N?ra?aippu (c) D?u‘f al-Math?na,
SM83,- - - - - Renal colic disorder (TM2),(a) t?n? (b) A?al n?rccurukku (c) Q?lanj Kulw?,
SM84,- - - - - Nephritis disorder (TM2),(b) N?rkka??u (c) Waram al-Kulya,
SM85,- - - - - Cystitis disorder (TM2),(b) Aiya N?rccurukku (c) Waram al-Math?na,
SM86,- - - - - Wound of the urinary bladder disorder (TM2),(b) Ci?un?r p?taiyi? k?ya?ka? (c) Qur?h? al-Math?na,
SM87,- - - - - Dysuria disorder (TM2),(a) m?trak?cchram (b) N?rccurukku (c) ‘Usr al-Bawl,
SM88,- - - - - Dribbling of urine disorder (TM2),(a) v?taku??alik? (b) Co??u n?r (c) Taqt??r al-Bawl,
SM89,- - - - - Thick urine disorder (TM2),(a) m?traukas?da? (c) Bawl Ghal??,
SM8A,- - - - - Haematuria disorder (TM2),(a) lohitameha? (b) A?al N?rccurukku (c) Bawl al-Dam,
